Date,Open,High,Low,Close
1/2/1991,0.8958,0.8996,0.8947,0.895
1/3/1991,0.895,0.9009,0.8944,0.8976
1/4/1991,0.898,0.9007,0.8966,0.8969
1/7/1991,0.8964,0.9013,0.8939,0.8977
1/8/1991,0.8977,0.8987,0.8941,0.8965
1/9/1991,0.8965,0.898,0.8873,0.8919
1/10/1991,0.8919,0.8961,0.8907,0.8932
1/11/1991,0.8932,0.8965,0.8912,0.8935
1/14/1991,0.8935,0.8963,0.8905,0.8943
1/15/1991,0.8945,0.8998,0.893,0.8985
1/16/1991,0.8985,0.91,0.8983,0.9063
1/17/1991,0.9064,0.909,0.8958,0.9029
1/18/1991,0.9029,0.9116,0.9017,0.9031
1/21/1991,0.9029,0.9101,0.9028,0.9064
1/22/1991,0.9088,0.9122,0.906,0.9068
1/23/1991,0.9062,0.9122,0.9059,0.9084
1/24/1991,0.9084,0.91,0.9004,0.905
1/25/1991,0.9044,0.9143,0.9013,0.9046
1/28/1991,0.905,0.9125,0.905,0.9117
1/29/1991,0.9109,0.9161,0.9075,0.9099
1/30/1991,0.91,0.9147,0.9085,0.9128
1/31/1991,0.9112,0.9133,0.9069,0.9104
2/1/1991,0.91,0.9128,0.9069,0.9083
2/4/1991,0.9091,0.9093,0.9053,0.9075
2/5/1991,0.9075,0.9102,0.9,0.9017
2/6/1991,0.9009,0.9049,0.9003,0.9041
2/7/1991,0.9047,0.908,0.9042,0.9054
2/8/1991,0.9054,0.9063,0.9023,0.9024
2/11/1991,0.903,0.9056,0.9009,0.9012
2/12/1991,0.9014,0.904,0.9003,0.9022
2/13/1991,0.9022,0.9128,0.9022,0.9082
2/14/1991,0.9083,0.9107,0.9068,0.9068
2/15/1991,0.907,0.9124,0.9063,0.9099
2/19/1991,0.9097,0.9136,0.909,0.91
2/20/1991,0.9092,0.9115,0.908,0.9082
2/21/1991,0.9083,0.9117,0.9064,0.907
2/22/1991,0.907,0.9093,0.9027,0.9044
2/25/1991,0.9068,0.9068,0.9025,0.903
2/26/1991,0.903,0.9068,0.9014,0.9044
2/27/1991,0.9034,0.9067,0.9004,0.9044
2/28/1991,0.9044,0.9065,0.9023,0.9046
3/1/1991,0.9043,0.9082,0.9028,0.9053
3/4/1991,0.9048,0.9063,0.8968,0.8986
3/5/1991,0.8989,0.8989,0.8919,0.8949
