Date,Open,High,Low,Close
1/4/1999,1.1742,1.1888,1.1742,1.1825
1/5/1999,1.1827,1.1831,1.1754,1.1774
1/6/1999,1.1775,1.1785,1.1568,1.1622
1/7/1999,1.1618,1.173,1.1615,1.1706
1/8/1999,1.1703,1.1718,1.1539,1.1577
1/11/1999,1.1602,1.1608,1.1491,1.1498
1/12/1999,1.1498,1.1568,1.144,1.1564
1/13/1999,1.1562,1.1787,1.1557,1.1663
1/14/1999,1.1668,1.1725,1.1615,1.17
1/15/1999,1.1699,1.1747,1.1553,1.1553
1/19/1999,1.161,1.164,1.1565,1.1605
1/20/1999,1.1605,1.1612,1.154,1.1557
1/21/1999,1.1563,1.1615,1.1545,1.1591
1/22/1999,1.1593,1.1625,1.1562,1.1585
1/25/1999,1.1585,1.1609,1.1549,1.1549
1/26/1999,1.1551,1.1588,1.1551,1.156
1/27/1999,1.1561,1.1561,1.1411,1.1423
1/28/1999,1.1441,1.1468,1.1383,1.1412
1/29/1999,1.1413,1.143,1.1343,1.1357
2/1/1999,1.1371,1.1395,1.1294,1.1298
2/2/1999,1.1297,1.1365,1.129,1.1339
2/3/1999,1.134,1.1361,1.13,1.13
2/4/1999,1.1303,1.1338,1.1254,1.1328
2/5/1999,1.1333,1.1368,1.1255,1.1259
2/8/1999,1.1256,1.1333,1.122,1.1324
2/9/1999,1.1322,1.1343,1.1284,1.1303
2/10/1999,1.1303,1.1358,1.1274,1.1326
2/11/1999,1.133,1.1333,1.1233,1.1233
2/12/1999,1.1223,1.1292,1.1218,1.1275
2/16/1999,1.122,1.1238,1.1162,1.1205
2/17/1999,1.1203,1.1265,1.1203,1.1245
2/18/1999,1.1243,1.1276,1.1188,1.12
2/19/1999,1.1195,1.1209,1.1058,1.1076
2/22/1999,1.107,1.107,1.097,1.103
2/23/1999,1.103,1.107,1.094,1.101
2/24/1999,1.101,1.105,1.093,1.1
2/25/1999,1.1,1.107,1.099,1.104
2/26/1999,1.1032,1.1043,1.0958,1.1026
3/1/1999,1.1024,1.1034,1.0885,1.0885
3/2/1999,1.089,1.0937,1.0862,1.0933
3/3/1999,1.0932,1.0942,1.0884,1.0889
3/4/1999,1.0881,1.0881,1.0793,1.0807
3/5/1999,1.0803,1.0862,1.0788,1.0825
