Date,Close,Predictions
1994-11-25,154.32,153.9983
1994-11-28,154.0,153.82104
1994-11-29,154.56,153.66032
1994-11-30,154.69,153.55519
1994-12-01,155.54,153.49988
1994-12-02,156.87,153.53255
1994-12-05,156.35,153.70135
1994-12-06,156.34,153.91353
1994-12-07,156.32,154.13895
1994-12-08,157.06,154.35573
1994-12-09,156.16,154.5978
1994-12-12,156.32,154.78326
1994-12-13,156.2,154.93036
1994-12-14,156.6,155.03511
1994-12-15,156.79,155.13077
1994-12-16,156.43,155.22621
1994-12-19,156.2,155.2932
1994-12-20,156.25,155.32379
1994-12-21,155.07,155.33232
1994-12-22,154.9,155.25285
1994-12-23,154.64,155.11237
1994-12-27,155.12,154.92586
1994-12-28,156.02,154.75246
1994-12-29,155.43,154.65515
1994-12-30,156.18,154.5768
1995-01-03,157.42,154.56326
1995-01-04,158.25,154.6689
1995-01-05,157.67,154.89534
1995-01-06,157.11,155.14812
1995-01-09,156.12,155.36612
1995-01-10,156.28,155.48485
1995-01-11,155.88,155.54134
1995-01-12,155.28,155.52846
1995-01-13,154.4,155.43481
1995-01-16,154.31,155.24133
1995-01-17,155.23,154.99179
1995-01-18,156.49,154.78035
1995-01-19,157.18,154.68602
1995-01-20,157.87,154.71661
1995-01-23,158.99,154.86897
1995-01-24,159.33,155.15923
1995-01-25,158.35,155.53938
1995-01-26,158.01,155.89041
1995-01-27,157.9,156.17776
1995-01-30,157.05,156.39705
1995-01-31,157.45,156.50426
1995-02-01,157.05,156.55765
1995-02-02,157.16,156.54773
1995-02-03,154.89,156.5057
1995-02-06,154.91,156.30469
1995-02-07,154.75,156.01813
1995-02-08,153.72,155.68562
1995-02-09,153.94,155.2824
1995-02-10,154.54,154.87558
1995-02-13,154.28,154.53094
1995-02-14,153.85,154.23332
1995-02-15,153.43,153.9596
1995-02-16,153.78,153.69337
1995-02-17,153.7,153.4709
1995-02-21,153.91,153.28557
1995-02-22,154.02,153.14902
1995-02-23,154.28,153.05905
1995-02-24,153.94,153.0206
1995-02-27,153.43,152.99608
1995-02-28,153.08,152.95023
1995-03-01,153.42,152.87146
1995-03-02,153.68,152.79727
1995-03-03,153.23,152.74641
1995-03-06,150.65,152.68604
1995-03-07,147.64,152.46436
1995-03-08,146.97,151.96887
1995-03-09,145.8,151.28967
1995-03-10,142.83,150.46555
1995-03-13,144.41,149.4229
1995-03-14,143.92,148.40755
1995-03-15,143.06,147.44711
1995-03-16,143.27,146.53514
1995-03-17,141.23,145.72794
1995-03-20,140.56,144.91785
1995-03-21,141.45,144.1187
1995-03-22,141.32,143.43109
1995-03-23,140.6,142.85124
1995-03-24,141.75,142.33488
1995-03-27,142.6,141.96078
1995-03-28,143.58,141.75204
1995-03-29,142.42,141.72098
1995-03-30,143.54,141.73573
1995-03-31,140.42,141.84447
1995-04-03,139.52,141.81766
1995-04-04,138.41,141.64987
1995-04-05,138.55,141.33395
1995-04-06,137.09,140.95097
1995-04-07,135.75,140.46313
1995-04-10,135.91,139.86098
1995-04-11,132.99,139.23466
1995-04-12,133.32,138.46187
1995-04-13,134.35,137.66556
1995-04-17,133.26,136.96681
1995-04-18,130.33,136.31342
1995-04-19,130.81,135.56079
1995-04-20,133.82,134.82039
1995-04-21,133.33,134.31049
1995-04-24,133.14,133.95438
1995-04-25,132.09,133.7095
1995-04-26,135.3,133.4897
1995-04-27,135.31,133.485
1995-04-28,135.67,133.61937
1995-05-01,134.76,133.85503
1995-05-02,135.0,134.08609
1995-05-03,135.25,134.31108
1995-05-04,135.56,134.53049
1995-05-05,134.19,134.7493
1995-05-08,133.64,134.87292
1995-05-09,132.31,134.89429
1995-05-10,132.88,134.77003
1995-05-11,133.95,134.59314
1995-05-12,136.18,134.457
1995-05-15,135.83,134.48781
1995-05-16,135.43,134.60602
1995-05-17,136.45,134.75037
1995-05-18,136.99,134.96135
1995-05-19,136.18,135.23291
1995-05-22,137.57,135.47818
1995-05-23,136.88,135.7714
1995-05-24,137.24,136.03569
1995-05-25,136.33,136.28511
1995-05-26,132.87,136.45491
1995-05-30,132.64,136.35861
1995-05-31,134.15,136.08278
1995-06-01,135.49,135.79756
1995-06-02,133.92,135.60513
1995-06-05,135.34,135.39557
1995-06-06,135.14,135.27275
1995-06-07,134.8,135.20274
1995-06-08,135.12,135.15175
1995-06-09,134.68,135.13461
1995-06-12,133.92,135.11421
1995-06-13,134.98,135.04797
1995-06-14,135.98,135.01772
1995-06-15,135.14,135.0711
1995-06-16,135.97,135.12631
1995-06-19,135.46,135.22752
1995-06-20,135.68,135.32169
1995-06-21,135.29,135.41771
1995-06-22,135.06,135.48546
1995-06-23,135.44,135.51674
1995-06-26,133.7,135.5445
1995-06-27,133.5,135.46631
1995-06-28,134.93,135.31297
1995-06-29,135.0,135.20468
1995-06-30,134.9,135.13751
1995-07-03,135.54,135.09637
1995-07-05,135.37,135.11246
1995-07-06,136.02,135.15465
1995-07-07,138.34,135.24889
1995-07-10,138.55,135.50655
1995-07-11,138.95,135.866
1995-07-12,139.13,136.29156
1995-07-13,139.76,136.7422
1995-07-14,140.14,137.2161
1995-07-17,141.73,137.69612
1995-07-18,141.02,138.2428
1995-07-19,139.63,138.75513
1995-07-20,140.48,139.12944
1995-07-21,141.06,139.44025
1995-07-24,139.45,139.72433
1995-07-25,139.51,139.87788
1995-07-26,140.01,139.94167
1995-07-27,140.53,139.97371
1995-07-28,140.9,140.01532
1995-07-31,140.93,140.0838
1995-08-01,141.57,140.1681
1995-08-02,145.6,140.29596
1995-08-03,145.26,140.6845
1995-08-04,146.73,141.1968
1995-08-07,146.3,141.8447
1995-08-08,146.53,142.51152
1995-08-09,146.46,143.16008
1995-08-10,147.38,143.74908
1995-08-11,147.47,144.31604
1995-08-14,147.05,144.83699
1995-08-15,150.47,145.26927
1995-08-16,150.65,145.82408
1995-08-17,150.06,146.43324
1995-08-18,150.26,147.00357
1995-08-21,149.19,147.52429
1995-08-22,148.4,147.9136
1995-08-23,148.97,148.14494
1995-08-24,149.17,148.29456
1995-08-25,149.85,148.39458
1995-08-28,149.89,148.49913
1995-08-29,151.11,148.60356
1995-08-30,153.01,148.77704
1995-08-31,150.86,149.1006
1995-09-01,151.55,149.36844
1995-09-05,152.11,149.62625
1995-09-06,153.2,149.89394
1995-09-07,153.41,150.2172
1995-09-08,154.44,150.56795
1995-09-11,154.78,150.97719
1995-09-12,157.18,151.41803
1995-09-13,159.23,151.99872
1995-09-14,158.5,152.75781
1995-09-15,161.39,153.53685
1995-09-18,160.01,154.45801
1995-09-19,161.54,155.32225
1995-09-20,159.26,156.1894
1995-09-21,157.09,156.85687
1995-09-22,157.29,157.21707
1995-09-25,157.81,157.36914
1995-09-26,158.24,157.41003
1995-09-27,158.34,157.40535
1995-09-28,156.94,157.38022
1995-09-29,157.66,157.25824
1995-10-02,159.46,157.12962
1995-10-03,160.43,157.11826
1995-10-04,159.7,157.24393
1995-10-05,157.55,157.40454
1995-10-06,159.14,157.44312
1995-10-09,159.08,157.50085
1995-10-10,158.75,157.56114
1995-10-11,158.78,157.59882
1995-10-12,157.86,157.62164
1995-10-13,158.94,157.57573
1995-10-16,158.23,157.55699
1995-10-17,158.02,157.5117
1995-10-18,158.04,157.44025
1995-10-19,158.23,157.35811
1995-10-20,157.82,157.28651
1995-10-23,157.59,157.20082
1995-10-24,158.79,157.09785
1995-10-25,159.68,157.06572
1995-10-26,160.52,157.13632
1995-10-27,160.59,157.32088
1995-10-30,160.7,157.5707
1995-10-31,161.28,157.85266
1995-11-01,162.82,158.17235
1995-11-02,164.26,158.59097
1995-11-03,164.01,159.13509
1995-11-06,163.28,159.70747
1995-11-07,162.74,160.21423
1995-11-08,161.88,160.61084
1995-11-09,158.54,160.85551
1995-11-10,157.84,160.77553
1995-11-13,158.26,160.45097
1995-11-14,158.52,160.01802
1995-11-15,157.76,159.5618
1995-11-16,158.85,159.07532
1995-11-17,157.62,158.67274
1995-11-20,157.57,158.274
1995-11-21,158.08,157.90297
1995-11-22,157.66,157.6061
1995-11-24,158.29,157.34973
1995-11-27,158.0,157.17586
1995-11-28,156.19,157.04732
1995-11-29,155.78,156.84294
1995-11-30,156.48,156.57793
1995-12-01,155.01,156.33412
1995-12-04,155.08,156.02739
1995-12-05,156.25,155.70592
1995-12-06,156.41,155.46857
1995-12-07,155.49,155.31038
1995-12-08,155.22,155.15659
1995-12-11,155.11,154.9993
1995-12-12,156.1,154.84259
1995-12-13,155.85,154.75755
1995-12-14,156.75,154.7078
1995-12-15,156.71,154.7401
1995-12-18,156.39,154.81972
1995-12-19,157.14,154.90437
1995-12-20,156.6,155.03296
1995-12-21,156.95,155.1466
1995-12-22,157.79,155.26497
1995-12-26,159.61,155.43022
1995-12-27,160.27,155.72777
1995-12-28,158.86,156.13147
1995-12-29,160.48,156.4888
1996-01-02,161.54,156.89458
1996-01-03,162.68,157.36934
1996-01-04,163.45,157.92831
1996-01-05,163.23,158.55269
1996-01-08,163.23,159.1638
1996-01-09,161.94,159.72604
1996-01-10,162.17,160.13776
1996-01-11,161.8,160.4406
1996-01-12,162.82,160.62968
1996-01-15,162.55,160.7987
1996-01-16,162.47,160.92683
1996-01-17,160.5,161.01694
1996-01-18,160.35,160.95316
1996-01-19,158.77,160.78758
1996-01-22,159.85,160.46815
1996-01-23,160.24,160.14128
1996-01-24,161.54,159.85565
1996-01-25,161.17,159.69858
1996-01-26,160.25,159.61139
1996-01-29,160.76,159.51797
1996-01-30,161.36,159.4592
1996-01-31,161.95,159.4631
1996-02-01,162.2,159.54346
1996-02-02,162.38,159.6828
1996-02-05,162.1,159.86176
1996-02-06,162.11,160.03598
1996-02-07,163.03,160.19594
1996-02-08,164.51,160.39357
1996-02-09,163.8,160.69493
1996-02-12,163.34,160.99731
1996-02-13,163.98,161.25208
1996-02-14,163.85,161.4997
1996-02-15,162.37,161.71716
1996-02-16,163.27,161.80728
1996-02-20,163.45,161.86794
1996-02-21,162.05,161.91615
1996-02-22,162.22,161.86514
1996-02-23,161.74,161.76645
1996-02-26,160.64,161.61324
1996-02-27,160.61,161.3666
1996-02-28,160.23,161.07584
1996-02-29,161.08,160.75227
1996-03-01,160.74,160.48375
1996-03-04,160.77,160.24675
1996-03-05,160.94,160.04855
1996-03-06,161.2,159.89917
1996-03-07,161.01,159.8071
1996-03-08,161.04,159.74553
1996-03-11,160.76,159.70929
1996-03-12,160.41,159.67342
1996-03-13,160.16,159.61777
1996-03-14,161.27,159.53699
1996-03-15,161.86,159.51506
1996-03-18,162.48,159.5686
1996-03-19,162.79,159.70613
1996-03-20,163.7,159.90779
1996-03-21,164.15,160.19446
1996-03-22,163.99,160.54425
1996-03-25,161.55,160.90073
1996-03-26,162.14,161.08304
1996-03-27,161.86,161.17976
1996-03-28,161.88,161.19571
1996-03-29,163.64,161.16058
